,TA.CZC,L.DCE,RU.SHF,MA.CZC,RB.SHF,J.DCE,JM.DCE,HC.SHF,BU.SHF,ZC.CZC,I.DCE,PP.DCE,V.DCE,EG.DCE,FU.SHF
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,0.0,0.0,-12.0,-83.0,0.0,16.0,38.0,0.0,-48.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-07,0.0,0.0,-12.0,-83.0,0.0,16.0,38.0,0.0,-48.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-08,-72.0,0.0,0.0,-83.0,0.0,16.0,38.0,0.0,-48.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-09,-72.0,0.0,0.0,-83.0,0.0,16.0,38.0,0.0,-48.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-12,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-13,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-14,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-15,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-16,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-19,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-20,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-21,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-22,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-23,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2015-01-26,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2015-01-27,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2015-01-28,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2015-01-29,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2015-01-30,-72.0,0.0,-13.0,-83.0,0.0,16.0,38.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2015-02-02,-48.0,27.0,-9.0,-55.0,-44.0,0.0,25.0,43.0,40.0,0.0,0.0,31.0,0.0,0.0,0.0
2015-02-03,-49.0,27.0,-9.0,-55.0,-45.0,0.0,25.0,43.0,40.0,0.0,0.0,0.0,44.0,0.0,0.0
2015-02-04,-42.0,0.0,-8.0,-47.0,-40.0,10.0,23.0,39.0,35.0,0.0,21.0,0.0,39.0,0.0,0.0
