,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2013-01-04,0.0,1.0,0.0,0.0,0.0
2013-01-07,0.0,1.0,0.0,0.0,0.0
2013-01-08,-1260.0,0.99874,0.08285489717043475,1.10735,0.08291810000000001
2013-01-09,-3265.0,0.995475,0.08267033325799243,1.101275,0.072944
2013-01-10,-65.0,0.99541,0.08288182758863183,1.10372,0.072602
2013-01-11,695.0,0.996105,0.08133284141732047,1.083915,0.0
2013-01-14,4095.0,1.0002,0.08202419516096782,1.09818,0.0
2013-01-15,680.0,1.00088,0.08116707297578131,1.08775,0.0
2013-01-16,15.0,1.000895,0.08089784642744743,1.083875,0.0
2013-01-17,2345.0,1.00324,0.0810828914317611,1.08898,0.0
2013-01-18,2120.0,1.00536,0.08217713058009073,1.10608,0.0
2013-01-21,1410.0,1.00677,0.08160960298777278,1.10013,0.0
2013-01-22,-4360.0,1.00241,0.08235113376762004,1.10468,0.0
2013-01-23,-970.0,1.00144,0.08270969803482985,1.10874,0.0
2013-01-24,3655.0,1.005095,0.08178585108870307,1.101065,0.0
2013-01-25,745.0,1.00584,0.08198977968663008,1.10508,0.0
2013-01-28,3075.0,1.008915,0.0820257900814241,1.109115,0.0
2013-01-29,-5.0,1.00891,0.08260231338771545,1.11639,0.0
2013-01-30,-3935.0,1.004975,0.08338252195328243,1.122305,0.0
2013-01-31,655.0,1.00563,0.08357845330787665,1.1256,0.0
2013-02-01,1600.0,1.00723,0.07234693168392524,1.041,0.0357551
2013-02-04,6000.0,1.01323,0.07282354450618321,1.0541,0.0
2013-02-05,2450.0,1.01568,0.07215510790800253,1.04695,0.0
2013-02-06,2400.0,1.01808,0.07175123762376238,1.04355,0.0
2013-02-07,2750.0,1.02083,0.07290538091552953,1.0632,0.059724000000000006
2013-02-08,310.0,1.02114,0.0838497659478622,1.148105,0.06453855
2013-02-18,775.0,1.021915,0.07430867537906773,1.010945,0.03817275
2013-02-19,-3110.0,1.018805,0.0748317391453713,1.014585,0.0743505
2013-02-20,-230.0,1.018575,0.08281682743047887,1.131345,0.0190862
2013-02-21,-2080.0,1.016495,0.08110856423297705,1.106135,0.0
2013-02-22,1120.0,1.017615,0.08039587663310781,1.097215,0.0731955
2013-02-25,-2475.0,1.01514,0.08014195086392024,1.09179,0.0
2013-02-26,-5945.0,1.009195,0.07930940006638956,1.074395,0.0
2013-02-27,6735.0,1.01593,0.07933026881773352,1.0813,0.0
2013-02-28,7250.0,1.02318,0.07742772532692195,1.06115,0.087528
2013-03-01,-550.0,1.02263,0.07616342176544791,1.0442,0.0
2013-03-04,-9320.0,1.01331,0.06559749731079334,0.94958,0.06334400000000001
2013-03-05,1610.0,1.01492,0.07653214046427305,1.0402,0.0631493
2013-03-06,800.0,1.01572,0.07622277793092584,1.0371,0.0
2013-03-07,-6250.0,1.00947,0.07584029243068145,1.02535,0.0
2013-03-08,-3950.0,1.00552,0.07622921473466465,1.026,0.0
2013-03-11,600.0,1.00612,0.07593726394465869,1.0229,0.0
2013-03-12,2700.0,1.00882,0.07447413810194088,1.0069,0.0
2013-03-13,4100.0,1.01292,0.07376199502428622,1.0021,0.0
2013-03-14,-6655.0,1.006265,0.06422478174238397,0.923245,0.0594328
2013-03-15,-200.0,1.006065,0.06515597898744117,0.936445,0.0
2013-03-18,410.0,1.006475,0.06444019970689784,0.926535,0.0
2013-03-19,-3460.0,1.003015,0.06534014944941004,0.936245,0.0709128
2013-03-20,350.0,1.003365,0.06530689230738565,0.936095,0.0
2013-03-21,-1025.0,1.00234,0.07538360237045313,1.014,0.0893304
2013-03-22,-4900.0,0.99744,0.07511028232274623,1.0051,0.0
2013-03-25,-2000.0,0.99544,0.07528931929598971,1.0052,0.0
2013-03-26,-3550.0,0.99189,0.07500277248485215,0.99775,0.0
2013-03-27,-1150.0,0.99074,0.07477239235319054,0.9936,0.0
2013-03-28,800.0,0.99154,0.07374891582790406,0.9815,0.0
2013-03-29,-5635.0,0.985905,0.07627717680709602,1.074315,0.0687331
2013-04-01,-1915.0,0.98399,0.07555523938251406,1.06208,0.0
2013-04-02,8385.0,0.992375,0.07326565058571609,0.977,0.06804515
2013-04-03,-4020.0,0.988355,0.07656297585381772,1.08102,0.06906
2013-04-08,-705.0,0.98765,0.07703260264263656,1.086875,0.0
2013-04-09,725.0,0.988375,0.07397192361198937,0.9825,0.070058
2013-04-10,350.0,0.988725,0.07425269918329161,0.98645,0.0
2013-04-11,-545.0,0.98818,0.07656874253678479,1.08091,0.07029055000000001
2013-04-12,-2415.0,0.985765,0.07664732466662948,1.079375,0.0
2013-04-15,-3975.0,0.98179,0.07487751963250797,1.0502,0.0
2013-04-16,4120.0,0.98591,0.07435729427635383,1.04728,0.0
2013-04-17,-6530.0,0.97938,0.07435489799669179,1.04031,0.0
2013-04-18,2845.0,0.982225,0.07364101911476495,1.033315,0.0
2013-04-19,525.0,0.98275,0.07473599592978886,1.04924,0.0
2013-04-22,1790.0,0.98454,0.06921404920064192,0.9203,0.0660415
2013-04-23,-3350.0,0.98119,0.06915709495612471,0.969375,0.08199775
2013-04-24,2750.0,0.98394,0.06958630607557371,0.978125,0.0
2013-04-25,4340.0,0.98828,0.07015628162059336,0.935815,0.066802
2013-04-26,-1020.0,0.98726,0.06992550088122683,0.931695,0.0
2013-05-02,-6180.0,0.98108,0.07456807803644963,0.990475,0.0365288
