,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2015-01-05,0.0,1.0,0.0,0.0,0.0
2015-01-06,0.0,1.0,0.0,0.0,0.0
2015-01-07,4640.0,1.000464,0.07234359257304612,0.988188,0.07277508
2015-01-08,41740.0,1.004638,0.07185571320216835,0.986014,0.0
2015-01-09,20660.0,1.006704,0.0679787901905625,0.977636,0.02606796
2015-01-12,30700.0,1.009774,0.0716722850855736,0.984553,0.02633427
2015-01-13,102530.0,1.020027,0.07068485442052025,0.982018,0.022738100000000004
2015-01-14,29340.0,1.022961,0.06978958142099259,0.973736,0.023338140000000004
2015-01-15,-41670.0,1.018794,0.07101468010216001,0.986669,0.023308600000000002
2015-01-16,-23550.0,1.016439,0.07122810124365556,0.987286,0.02338182
2015-01-19,-5250.0,1.015914,0.07202935484696539,0.998009,0.0
2015-01-20,-31250.0,1.012789,0.07172953102768692,0.990734,0.0
2015-01-21,-91840.0,1.003605,0.0732312413748437,1.001702,0.0
2015-01-22,-69500.0,0.996655,0.07411501472425264,1.00616,0.0
2015-01-23,8180.0,0.997473,0.07407522810141227,1.006552,0.0
2015-01-26,27800.0,1.000253,0.07257749789303307,0.988538,0.0233905
2015-01-27,-26910.0,0.997562,0.07350246901946947,0.998001,0.0231469
2015-01-28,-33000.0,0.994262,0.07401821652642865,1.00201,0.02320269
2015-01-29,46250.0,0.998887,0.0734233301664753,0.998913,0.0
2015-01-30,57890.0,1.004676,0.07235710816223341,0.990685,0.04667313000000001
2015-02-02,-20505.0,1.0026255,0.0736458179050902,1.0056125,0.023727900000000003
2015-02-03,18670.0,1.0044925,0.07352457086538726,1.005744,0.023668225000000005
2015-02-04,-69950.0,0.9974975,0.07444635199586967,1.010715,0.023325960000000003
2015-02-05,56100.0,1.0031075,0.073824560179243,1.008421,0.0
2015-02-06,-52290.0,0.9978785,0.07557327871078494,1.026275,0.046903570000000006
2015-02-09,-6680.0,0.9972105,0.07473856322210808,1.013904,0.047176850000000006
2015-02-10,63220.0,1.0035325,0.07413717044540163,1.012478,0.0
2015-02-11,-6100.0,1.0029225,0.07448156761863454,1.016432,0.02321228
2015-02-12,-29910.0,0.9999315,0.07471601804723624,1.01671,0.023362570000000003
2015-02-13,-59500.0,0.9939815,0.07653166583080269,1.035008,0.0
2015-02-16,-45430.0,0.9894385,0.07771560334472533,1.046163,0.0
2015-02-17,-32580.0,0.9861805,0.07573655127027963,1.015463,0.048498940000000004
2015-02-25,-58990.0,0.9802815,0.07419069930423047,0.990181,0.07807661
2015-02-26,-97580.0,0.9705235,0.07669855495513504,1.012975,0.0
2015-02-27,-60930.0,0.9644305,0.07698537115945628,1.010752,0.0
2015-03-02,-75880.0,0.9568425,0.07817662781492252,1.019396,0.0
2015-03-03,-45430.0,0.9522995,0.07481506605852467,1.017805,0.0271337
2015-03-04,-6760.0,0.9516235,0.07338409570591731,0.997629,0.024146080000000004
2015-03-05,-34640.0,0.9481595,0.07215542321729625,0.977355,0.023547580000000005
2015-03-06,27200.0,0.9508795,0.07158712539285998,0.972439,0.02329068
2015-03-09,20270.0,0.9529065,0.07502632209980728,0.973731,0.04810455
2015-03-10,67390.0,0.9596455,0.07368736684536113,0.963805,0.02314627
2015-03-11,40515.0,0.963697,0.07035559413384083,0.9685925,0.04927141
2015-03-12,-33830.0,0.960314,0.07475314324273104,0.977737,0.026376975
2015-03-13,24530.0,0.962767,0.07420700958798963,0.973328,0.0
2015-03-16,38560.0,0.966623,0.0736219187832278,0.969912,0.0
2015-03-17,-46110.0,0.962012,0.07377208392410906,0.967219,0.0
2015-03-18,-32130.0,0.958799,0.07288023871530948,0.95184,0.0
2015-03-19,-30125.0,0.9557865,0.07502202113128822,0.9777805,0.045027290000000005
2015-03-20,-56445.0,0.950142,0.07537581750938281,0.976459,0.046818870000000005
2015-03-23,-149490.0,0.9351929999999999,0.07766357318756664,0.989329,0.023393510000000003
2015-03-24,27410.0,0.937934,0.07759855171046151,0.991276,0.0
2015-03-25,34760.0,0.94141,0.07588537406655974,0.972535,0.04683525000000001
2015-03-26,-30680.0,0.938342,0.0768569135773524,0.981731,0.0
2015-03-27,71230.0,0.945465,0.07530928167621223,0.969577,0.024488450000000002
2015-03-30,-37100.0,0.941755,0.07552999453148643,0.969205,0.06687366000000002
2015-03-31,-67100.0,0.935045,0.07627852135458721,0.972335,0.0450044
2015-04-01,-32660.0,0.931779,0.07643547450629389,0.970661,0.0
2015-04-02,-121450.0,0.919634,0.07724235946039403,0.96735,0.0
2015-04-03,-30760.0,0.916558,0.0766229633040135,0.955827,0.02414937
2015-04-07,-99310.0,0.906627,0.07861215251696674,0.97033,0.0
2015-04-08,-3640.0,0.906263,0.07998140716326277,0.988577,0.02243689
