,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2015-01-05,0.0,1.0,0.0,0.0,0.0
2015-01-06,0.0,1.0,0.0,0.0,0.0
2015-01-07,21385.0,1.0021385,0.07165462658105641,0.991498,0.072232685
2015-01-08,10915.0,1.00323,0.07139049370533179,0.9892155,0.0
2015-01-09,-19175.0,1.0013125,0.07045153236377256,0.9737,0.0
2015-01-12,63585.0,1.007671,0.06903405476589085,0.9596045,0.0
2015-01-13,116635.0,1.0193345,0.06748153819967832,0.949438,0.017010000000000004
2015-01-14,6885.0,1.020023,0.06806540146643753,0.9598825,0.01618554
2015-01-15,-40765.0,1.0159465,0.06927100984156154,0.972902,0.0
2015-01-16,-31090.0,1.0128375,0.06939153615461513,0.971505,0.0
2015-01-19,3645.0,1.013202,0.07040562987439819,0.9862875,0.0172494
2015-01-20,-16040.0,1.011598,0.06981644388383527,0.9763525,0.017576650000000003
2015-01-21,-34110.0,1.008187,0.0707866943334917,0.9861275,0.01748152
2015-01-22,-43430.0,1.003844,0.0713691121329609,0.9894965,0.017770200000000003
2015-01-23,-5225.0,1.0033215,0.07135613061217168,0.988842,0.017665200000000002
2015-01-26,11865.0,1.004508,0.07004523109820927,0.9715485,0.017360000000000004
2015-01-27,-11830.0,1.003325,0.07061060473924202,0.9778255,0.0
2015-01-28,-16540.0,1.001671,0.07118180021184602,0.9844335,0.0
2015-01-29,14715.0,1.0031425,0.07099813835023439,0.983645,0.0
2015-01-30,44150.0,1.0075575,0.07010891189832838,0.976018,0.0
2015-02-02,-5095.0,1.007048,0.07128390603029845,0.9914345,0.017650500000000003
2015-02-03,19555.0,1.0090035,0.0721264990656623,1.005507,0.017195150000000003
2015-02-04,-50210.0,1.0039825,0.07180865204323782,0.995209,0.01817445
2015-02-05,52580.0,1.0092405,0.07133414186212306,0.9942115,0.017301235000000005
2015-02-06,-25165.0,1.006724,0.07282950441233149,1.012073,0.017707900000000002
2015-02-09,-3730.0,1.006351,0.07232061179449319,1.004536,0.0
2015-02-10,43770.0,1.010728,0.07197324106980316,1.004351,0.0
2015-02-11,-2530.0,1.010475,0.07213233380340929,1.006156,0.0
2015-02-12,-16205.0,1.0088545,0.07227167544973037,1.0065715,0.0
2015-02-13,-11310.0,1.0077235,0.07373686829770269,1.0257125,0.0
2015-02-16,-29360.0,1.0047875,0.07031168779468296,1.0092615,0.0661192
2015-02-17,-14725.0,1.003315,0.07140388611752042,0.995687,0.04477053
2015-02-25,-92910.0,0.994024,0.0698213423418348,0.991487,0.02951655
2015-02-26,-40790.0,0.989945,0.07215205390198445,1.0203795,0.028541905
2015-02-27,-23065.0,0.9876385,0.07162841464766716,1.010614,0.03144484000000001
2015-03-02,-64535.0,0.981185,0.07378039309610317,1.0076745,0.03015383
2015-03-03,-40290.0,0.977156,0.07462712709127303,1.0122735,0.03204206
2015-03-04,-18290.0,0.975327,0.07140469811663165,0.994899,0.072144815
2015-03-05,-15535.0,0.9737735,0.07342051822112637,0.9847565,0.037466400000000004
2015-03-06,8630.0,0.9746365,0.07274369470053707,0.987438,0.06692410500000001
2015-03-09,-115.0,0.974625,0.07200104655636785,1.002486,0.065527035
2015-03-10,6215.0,0.9752465,0.07117771250653042,0.9916545,0.03127411
2015-03-11,14575.0,0.976704,0.07350077403184588,0.99651,0.04338661
2015-03-12,-25460.0,0.974158,0.07481511212760147,1.011762,0.0
2015-03-13,26220.0,0.97678,0.07318629066934212,0.9957715,0.026730565
2015-03-16,43450.0,0.981125,0.07303742642374825,0.9949435,0.03837159000000001
2015-03-17,-52125.0,0.9759125,0.07410230937712144,1.000821,0.028771230000000005
2015-03-18,-25440.0,0.9733685,0.07277409326478103,0.979813,0.015519000000000003
2015-03-19,-54730.0,0.9678955,0.0749917527253717,1.008254,0.027095420000000002
2015-03-20,-2665.0,0.967629,0.07167829302346251,0.9908285,0.029371240000000003
2015-03-23,-89795.0,0.9586495,0.07458740655474186,1.021474,0.016730000000000002
2015-03-24,7535.0,0.959403,0.07461893490014103,1.022709,0.018202625000000004
2015-03-25,-18655.0,0.9575375,0.07273058757489916,0.9948895,0.016834860000000004
2015-03-26,-39460.0,0.9535915,0.07367936375271802,1.0037145,0.015788850000000004
2015-03-27,-4655.0,0.953126,0.07303927287682846,0.994509,0.03107685
2015-03-30,39135.0,0.9570395,0.07535106962669776,0.994085,0.065274105
2015-03-31,-32320.0,0.9538075,0.07246689714643678,0.987421,0.0728135
2015-04-01,4400.0,0.9542475,0.07364364066974238,1.003918,0.030073260000000004
2015-04-02,-100245.0,0.944223,0.07392103878003396,0.9971135,0.046832660000000005
2015-04-03,72130.0,0.951436,0.07323235614376584,0.99537,0.027779535000000005
2015-04-07,-91980.0,0.942238,0.07502576312990986,1.0098875,0.028516145
