,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2015-01-05,0.0,1.0,0.0,0.0,0.0
2015-01-06,0.0,1.0,0.0,0.0,0.0
2015-01-07,18855.0,1.0018855,0.07050504274191013,0.982414,0.071123115
2015-01-08,1935.0,1.002079,0.07026688015615537,0.9794995,0.0
2015-01-09,-21695.0,0.9999095,0.06939027982032374,0.9647,0.0
2015-01-12,45265.0,1.004436,0.06796631642035929,0.9486845,0.0
2015-01-13,94925.0,1.0139285,0.06682274933587526,0.942067,0.013650000000000002
2015-01-14,5505.0,1.014479,0.06607243225340298,0.9327085,0.013919850000000003
2015-01-15,-53810.0,1.009098,0.06851373702058672,0.9624225,0.01314915
2015-01-16,-25035.0,1.0065945,0.06857387955129896,0.960787,0.0
2015-01-19,-4310.0,1.0061635,0.06912667275249004,0.9681105,0.028389725000000005
2015-01-20,-9070.0,1.0052565,0.06861393584622433,0.9600015,0.014182700000000003
2015-01-21,-8920.0,1.0043645,0.06908301219328242,0.9652375,0.028245
2015-01-22,-48020.0,0.9995625,0.06976168573751017,0.9697295,0.014284200000000002
2015-01-23,-18835.0,0.997679,0.07047451134082205,0.978062,0.013320160000000003
2015-01-26,28015.0,1.0004805,0.06892020883965255,0.9589075,0.0
2015-01-27,-14480.0,0.9990325,0.06963347538743735,0.9671615,0.0136696
2015-01-28,-4120.0,0.9986205,0.07009806528105522,0.9734595,0.0
2015-01-29,9675.0,0.999588,0.07022192143162984,0.976467,0.014012460000000004
2015-01-30,27240.0,1.002312,0.06940169328512479,0.967995,0.0
2015-02-02,9760.0,1.003288,0.07000062793534857,0.976787,0.0
2015-02-03,6490.0,1.003937,0.07100104887059647,0.991734,0.014120540000000003
2015-02-04,-42750.0,0.999662,0.07115230948060446,0.989118,0.014299950000000002
2015-02-05,32140.0,1.002876,0.0706530418516347,0.985582,0.013975780000000005
2015-02-06,6120.0,1.003488,0.07189291750374692,1.003134,0.0
2015-02-09,-9330.0,1.002555,0.07109703707028542,0.990907,0.014457240000000003
2015-02-10,42050.0,1.00676,0.07076608129047637,0.990658,0.0
2015-02-11,-1040.0,1.006656,0.07098673230974632,0.993546,0.0
2015-02-12,-7150.0,1.005941,0.07085563666258758,0.990997,0.013959680000000004
2015-02-13,-9990.0,1.004942,0.07234015495421628,1.010688,0.014022540000000002
2015-02-16,-12210.0,1.003721,0.0727907356725624,1.015557,0.0143598
2015-02-17,-22630.0,1.001458,0.07258133641151202,1.010638,0.0
2015-02-25,-22570.0,0.999201,0.07172975207190546,0.997622,0.01687455
2015-02-26,-59780.0,0.993223,0.07359471135887913,1.017078,0.0
2015-02-27,-39300.0,0.989293,0.07346054202344503,1.01132,0.0
2015-03-02,-34810.0,0.985812,0.07447950522006225,1.022397,0.0
2015-03-03,-51340.0,0.980678,0.07531362995804944,1.025646,0.032805970000000004
2015-03-04,-4810.0,0.980197,0.07383120944055123,1.004279,0.033969280000000004
2015-03-05,-5250.0,0.979672,0.07244739055520624,0.984644,0.0
2015-03-06,21620.0,0.981834,0.07153203087283594,0.974294,0.014334040000000003
2015-03-09,-16200.0,0.980214,0.07195238998830869,0.978262,0.0262948
2015-03-10,43370.0,0.984551,0.07084085029622642,0.967829,0.0
2015-03-11,-1120.0,0.984439,0.07080464101889504,0.966715,0.0138635
2015-03-12,-10140.0,0.983425,0.07187001550702901,0.980291,0.0141155
2015-03-13,34405.0,0.9868655,0.07134171272579698,0.9766725,0.027809320000000002
2015-03-16,55140.0,0.9923795,0.07055384558024426,0.971477,0.041874245000000004
2015-03-17,-74130.0,0.9849665,0.0710554115292246,0.97112,0.027651470000000008
2015-03-18,-49535.0,0.980013,0.06992607240924355,0.950418,0.013579125000000003
2015-03-19,-60885.0,0.9739245,0.07173869740416224,0.9694525,0.027543040000000008
2015-03-20,-30270.0,0.9708975,0.07200783295867999,0.9700375,0.0
2015-03-23,-53135.0,0.965584,0.07402314040000664,0.991388,0.0
2015-03-24,59980.0,0.971582,0.0737701038100747,0.9940815,0.014680855000000001
2015-03-25,18725.0,0.9734545,0.0719996620283742,0.9717085,0.028894775000000004
2015-03-26,-48035.0,0.968651,0.07312727700688897,0.982063,0.027670720000000003
2015-03-27,57485.0,0.9743995,0.0717952903300956,0.9700985,0.015009050000000003
2015-03-30,2780.0,0.9746775,0.07118273993192621,0.9622545,0.011913300000000002
2015-03-31,-52090.0,0.9694685,0.07163210047567302,0.9634095,0.026240760000000002
2015-04-01,-18530.0,0.9676155,0.07184384189794397,0.9643145,0.0
2015-04-02,-141675.0,0.953448,0.0732711694817127,0.968815,0.0
2015-04-03,-17270.0,0.951721,0.07291004401500019,0.962086,0.0
2015-04-07,-105160.0,0.941205,0.07519594031055934,0.9816285,0.013624695000000001
